,name,main_speaker,views,comments,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jawdrop,Ok,Obnoxious,Inspiring
37,Grace Kim: How cohousing can make us happier (and live longer),Grace Kim,1363680,59,130,30,56,90,14,33,54,9,5,2,4,0,0,0
38,Jimmy Lin: A simple new blood test that can catch cancer early,Jimmy Lin,1005506,7,7,17,75,14,18,45,36,16,3,5,0,0,0,0
39,Tristan Harris: How a handful of tech companies control billions of minds every day,Tristan Harris,1346060,39,58,227,104,125,64,27,7,73,4,9,6,4,0,0
40,"Jennifer Pluznick: You smell with your body, not just your nose",Jennifer Pluznick,1128877,15,46,84,12,18,11,2,10,9,1,6,1,1,0,0
41,Kristen Marhaver: Why I still have hope for coral reefs,Kristen Marhaver,956539,17,17,27,39,5,31,10,9,4,1,0,0,0,0,0
42,"Marc Raibert: Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,1475823,40,27,30,8,7,46,62,82,49,46,8,0,0,0,0
43,Titus Kaphar: Can art amend history?,Titus Kaphar,890748,46,94,47,76,34,33,18,28,24,17,3,7,1,0,0
44,Ingrid Betancourt: What six years in captivity taught me about fear and faith,Ingrid Betancourt,526794,19,227,213,67,56,52,20,20,15,6,7,0,0,0,0
45,Fran?oise Mouly: The stories behind The New Yorker's iconic covers,Fran?oise Mouly,839040,3,10,32,8,6,9,13,2,12,1,1,1,1,1,0
46,Joseph Redmon: How computers learn to recognize objects instantly,Joseph Redmon,1164777,20,72,67,86,112,7,49,6,9,3,12,3,0,0,0
47,"Tom Gruber: How AI can enhance our memory, work and social lives",Tom Gruber,1139827,20,109,32,40,50,6,9,20,6,3,18,3,6,1,7
48,Anjan Chatterjee: How your brain decides what is beautiful,Anjan Chatterjee,1436714,18,39,213,36,49,110,52,6,12,29,13,10,10,9,0
49,Ashton Applewhite: Let's end ageism,Ashton Applewhite,967704,47,257,102,114,42,57,55,56,10,18,1,18,5,2,0
50,David Baron: You owe it to yourself to experience a total solar eclipse,David Baron,1319327,36,174,153,122,196,75,9,25,7,17,10,12,3,11,3
51,Jon Boogz and Lil Buck: A dance to honor Mother Earth,Jon Boogz and Lil Buck,182975,6,84,3,2,23,24,1,11,18,2,1,3,1,1,0
52,Anne Madden: Meet the microscopic life in your home -- and on your face,Anne Madden,888252,20,109,215,41,168,112,3,35,16,23,9,22,10,1,6
53,Damon Davis: Courage is contagious,Damon Davis,721731,15,48,95,15,63,24,40,23,9,24,5,5,11,4,0
54,Manoush Zomorodi: How boredom can lead to your most brilliant ideas,Manoush Zomorodi,1051530,50,69,235,277,50,153,13,10,30,116,24,75,25,10,2
55,Ronald Sullivan: How I help free innocent people from prison,Ronald Sullivan,552732,8,24,26,34,32,92,32,4,26,0,0,0,0,0,0
56,Jack Conte: How artists can (finally) get paid in the digital age,Jack Conte,734095,14,31,76,89,31,21,28,27,13,6,6,2,3,0,0
57,Peter Calthorpe: 7 principles for building better cities,Peter Calthorpe,834190,26,95,82,29,40,6,2,4,18,10,4,5,2,0,0
58,Richard J. Berry: A practical way to help the homeless find work and safety,Richard J. Berry,748485,14,39,112,46,28,51,1,5,14,4,7,24,15,1,0
59,Susan Pinker: The secret to living longer may be your social life,Susan Pinker,1159426,24,4,8,1,236,123,104,73,40,16,18,29,13,4,8
60,Anika Paulson: How I found myself through music,Anika Paulson,691593,18,185,135,14,56,26,18,9,5,13,12,16,5,5,1
61,Cathy O'Neil: The era of blind faith in big data must end,Cathy O'Neil,761258,35,82,16,266,93,124,132,112,28,32,11,17,20,23,5
62,Iyad Rahwan: What moral decisions should driverless cars make?,Iyad Rahwan,659384,20,64,19,35,5,15,4,10,2,2,2,14,3,1,1
63,"David Whyte: A lyrical bridge between past, present and future",David Whyte,643011,14,142,152,49,18,30,7,9,8,8,6,5,13,2,1
64,Robin Hanson: What would happen if we upload our brains to computers?,Robin Hanson,840855,81,27,64,11,26,11,21,53,14,5,5,5,8,29,1
65,Carolyn Bertozzi: What the sugar coating on your cells is trying to tell you,Carolyn Bertozzi,727807,13,146,18,31,64,6,26,5,13,7,1,2,1,0,0
66,"Laolu Senbanjo: ""The Sacred Art of the Ori""",Laolu Senbanjo,636463,12,85,24,69,10,24,42,7,4,2,6,4,1,1,0
67,"Niki Okuk: When workers own companies, the economy is more resilient",Niki Okuk,744793,20,46,99,31,31,33,14,7,47,17,10,10,15,3,4
68,"Wanuri Kahiu: Fun, fierce and fantastical African art",Wanuri Kahiu,522917,9,19,22,16,17,48,24,9,1,3,4,3,0,0,0
69,Tara Winkler: Why we need to end the era of orphanages,Tara Winkler,656113,18,119,30,31,50,91,37,29,1,6,2,1,7,8,1
70,Noriko Arai: Can a robot pass a university entrance exam?,Noriko Arai,773317,39,114,129,51,8,49,34,8,10,19,15,1,3,8,1
71,Jennifer Granick: How the US government spies on people who protest -- including you,Jennifer Granick,766721,17,63,112,17,9,18,11,3,18,36,7,10,10,5,1
72,Chance Coughenour: How your pictures can help reclaim lost history,Chance Coughenour,539207,3,16,12,4,5,16,9,1,5,0,0,0,0,0,0
73,Chetan Bhatt: Dare to refuse the origin myths that claim who you are,Chetan Bhatt,857850,45,24,149,81,32,76,97,56,4,28,13,11,2,4,6
74,Daan Roosegaarde: A smog vacuum cleaner and other magical city designs,Daan Roosegaarde,591131,12,2,32,67,79,148,30,20,40,24,12,7,6,1,0
75,Erin Marie Saltman: How young people join violent extremist groups -- and how to stop them,Erin Marie Saltman,665328,18,64,22,18,17,16,5,7,3,5,1,1,0,0,0
76,Ray Dalio: How to build a company where the best ideas win,Ray Dalio,1070238,25,26,214,218,170,71,115,96,9,21,13,3,8,10,7
77,Toma??s Saraceno: Would you live in a floating city in the sky?,Toma??s Saraceno,248411,9,29,7,20,13,42,11,24,4,16,1,8,6,2,0
78,Benjamin Grant: What it feels like to see Earth from space,Benjamin Grant,646174,2,46,12,50,17,18,3,21,36,4,3,5,3,3,0
79,OluTimehin Adegbeye: Who belongs in a city?,OluTimehin Adegbeye,707788,8,77,19,63,54,34,12,71,72,16,3,6,2,1,1
80,Samantha Nutt: The real harm of the global arms trade,Samantha Nutt,1049990,71,23,215,209,172,215,60,26,65,28,29,29,4,12,0
81,Norman Lear: An entertainment icon on living a life of meaning,Norman Lear,1025698,28,110,8,34,29,128,56,59,23,8,2,6,13,7,0
82,"Stephen Wilkes: The passing of time, caught in a single photo",Stephen Wilkes,1588740,60,732,499,644,56,304,35,109,27,30,156,13,23,9,14
83,C?dric Villani: What's so sexy about math?,C?dric Villani,1624428,44,288,322,391,177,16,77,104,15,24,14,34,65,59,50
84,Amit Sood: Every piece of art you've ever wanted to see -- up close and searchable,Amit Sood,923916,42,188,11,201,168,277,125,109,47,7,5,14,15,7,0
85,"ShaoLan: The Chinese zodiac, explained",ShaoLan,2028383,69,615,314,115,339,64,136,62,26,62,18,83,29,17,12
86,Sajay Samuel: How college loans exploit students for profit,Sajay Samuel,1116194,103,479,186,29,51,109,75,8,10,7,9,37,61,40,9
87,Negin Farsad: A highly scientific taxonomy of haters,Negin Farsad,1225718,60,126,79,86,520,231,59,71,19,110,29,138,89,32,11
88,Andrew Youn: 3 reasons why we can win the fight against poverty,Andrew Youn,1173235,70,147,585,316,68,310,159,23,110,2,2,5,25,136,10
89,Jamila Raqib: The secret to effective nonviolent resistance,Jamila Raqib,878864,49,294,527,254,198,87,54,34,72,23,5,4,2,16,7
90,Andrew Pelling: This scientist makes ears out of apples,Andrew Pelling,1191591,23,359,230,323,133,159,30,125,7,22,4,28,6,19,2
91,Chris Milk: The birth of virtual reality as an art form,Chris Milk,811599,18,270,210,198,128,93,30,20,21,2,41,4,8,8,3
92,Tristan Harris: How better tech could protect us from distraction,Tristan Harris,1434311,49,197,52,786,33,38,221,360,208,272,78,20,85,18,38
93,Gill Hicks: I survived a terrorist attack. Here's what I learned,Gill Hicks,813426,43,492,612,115,47,391,47,3,11,88,11,109,5,14,4
94,Keolu Fox: Why genetic research must be more diverse,Keolu Fox,809398,70,199,26,67,42,78,5,14,34,53,18,23,3,5,0
95,Seema Bansal: How to fix a broken education system ... without any more money,Seema Bansal,1246214,73,129,477,136,268,140,87,15,5,58,56,26,21,17,8
96,"Brian Little: Who are you, really? The puzzle of personality",Brian Little,4235594,59,214,348,825,1228,309,1696,1274,35,78,330,32,149,17,24
97,Tom Hulme: What can we learn from shortcuts?,Tom Hulme,1396369,30,415,305,209,4,210,49,48,138,54,6,25,7,14,3
98,Wanda Diaz Merced: How a blind astronomer found a way to hear the stars,Wanda Diaz Merced,803813,24,101,84,199,83,61,67,13,2,10,2,2,23,4,1
99,Blaise Ag?_era y Arcas: How computers are learning to be creative,Blaise Ag?_era y Arcas,1413042,36,135,250,341,160,149,136,3,13,21,11,11,5,6,3
100,Julia Galef: Why you think you're right -- even if you're wrong,Julia Galef,3210972,126,650,1669,1600,709,1080,239,302,50,15,39,199,34,57,28
101,"Prosanta Chakrabarty: Clues to prehistoric times, found in blind cavefish",Prosanta Chakrabarty,971212,30,80,92,117,249,23,130,37,18,26,11,6,2,6,6
102,"John Legend: ""Redemption Song""",John Legend,1538107,40,474,528,218,23,101,58,68,3,36,20,15,11,9,0
103,Marwa Al-Sabouni: How Syria's architecture laid the foundation for brutal war,Marwa Al-Sabouni,888896,65,181,261,99,235,142,52,24,45,5,66,25,22,16,6
104,Alexander Betts: Why Brexit happened -- and what to do next,Alexander Betts,2432449,353,1170,152,1283,709,298,53,119,146,234,41,245,30,72,55
105,"Safwat Saleem: Why I keep speaking up, even when people mock my accent",Safwat Saleem,1370547,112,331,751,138,565,331,54,153,107,16,10,3,6,51,18
106,"Elise Roy: When we design for disability, we all benefit",Elise Roy,1162751,30,315,96,132,118,50,61,1,7,52,19,12,13,3,3
107,Leila Hoteit: 3 lessons on success from an Arab businesswoman,Leila Hoteit,1827512,38,583,956,214,239,71,138,39,10,20,181,59,49,15,8
108,Eric Haseltine: What will be the next big scientific breakthrough?,Eric Haseltine,1475291,55,310,270,44,314,47,95,61,50,11,28,18,9,26,4
109,Emma Marris: Nature is everywhere -- we just need to learn to see it,Emma Marris,990075,30,75,350,193,43,147,151,46,125,5,13,21,12,10,1
110,Shubhendu Sharma: How to grow a forest in your backyard,Shubhendu Sharma,1320671,59,680,440,757,310,314,124,52,32,48,9,70,7,9,13
111,Adam Savage: My love letter to cosplay,Adam Savage,1730653,80,451,416,71,50,473,330,111,96,85,62,4,2,4,3
112,Lisa Dyson: A forgotten Space Age technology could change how we grow food,Lisa Dyson,1258539,65,233,284,205,172,18,4,23,3,34,59,14,48,4,18
113,"eL Seed: A project of peace, painted across 50 buildings",eL Seed,821291,25,319,52,100,282,73,18,39,96,47,5,4,5,1,0
114,Gerard Ryle: How the Panama Papers journalists broke the biggest leak in history,Gerard Ryle,997650,68,280,232,165,51,132,4,78,17,17,18,13,2,2,0
115,Ed Boyden: A new way to study the brain's invisible secrets,Ed Boyden,1260112,49,300,123,64,163,20,214,30,9,30,38,16,9,11,15
116,Suzanne Simard: How trees talk to each other,Suzanne Simard,2396450,134,1057,1480,1586,869,81,342,173,80,301,106,12,30,18,12
117,Anthony Goldbloom: The jobs we'll lose to machines -- and the ones we won't,Anthony Goldbloom,1929261,75,699,141,198,43,183,122,3,60,25,3,9,38,29,16
118,Martin Reeves: How to build a business that lasts 100 years,Martin Reeves,1677142,45,393,167,23,281,156,36,56,143,6,19,12,16,23,4
119,Molly Winter: The taboo secret to better health,Molly Winter,1507057,56,202,267,138,178,345,7,88,190,36,20,30,7,8,6
120,Ngozi Okonjo-Iweala: How Africa can keep rising,Ngozi Okonjo-Iweala,778960,19,45,3,178,95,61,132,12,27,27,3,4,3,5,4
121,Dave Brain: What a planet needs to sustain life,Dave Brain,1311426,107,446,297,211,54,50,137,10,17,10,40,40,3,41,5
122,Monica Araya: A small country with big ideas to get rid of fossil fuels,Monica Araya,1018830,74,220,612,230,153,109,248,64,27,11,7,38,7,2,1
123,James Green: 3 moons and a planet that could have alien life,James Green,1465749,49,383,342,123,123,74,56,31,4,3,7,19,17,39,9
124,Sarah Parcak: Hunting for Peru's lost civilizations -- with satellites,Sarah Parcak,1027539,44,228,179,75,10,3,16,140,39,35,13,22,24,28,10
125,Anand Giridharadas: A letter to all who have lost in this era,Anand Giridharadas,961913,43,206,24,36,140,272,25,64,92,28,62,37,39,13,5
126,Gonzalo Vilari?o: How Argentina's blind soccer team became champions,Gonzalo Vilari?o,443773,11,129,61,194,68,34,14,21,15,3,10,3,2,4,1
127,Olivier Scalabre: The next manufacturing revolution is here,Olivier Scalabre,1548845,105,532,74,105,283,81,52,158,142,26,17,24,13,34,18
128,Timothy Ihrig: What we can do to die well,Timothy Ihrig,1279825,62,189,362,96,356,27,102,209,6,7,27,2,25,9,11
129,Laura Boushnak: The deadly legacy of cluster bombs,Laura Boushnak,645572,35,38,50,113,55,58,17,30,7,18,4,1,3,1,3
130,Don Tapscott: How the blockchain is changing money and business,Don Tapscott,2110218,100,1329,589,737,44,324,153,60,244,28,23,56,6,10,15
131,Vanessa Ruiz: The spellbinding art of human anatomy,Vanessa Ruiz,1257468,28,283,137,357,23,76,23,14,42,187,41,2,5,26,14
132,Julia Bacha: How women wage conflict without violence,Julia Bacha,811955,20,117,156,133,24,219,20,101,48,3,9,6,15,9,5
133,Christopher Bell: Bring on the female superheroes!,Christopher Bell,1026017,102,51,384,110,827,490,126,446,142,20,17,245,202,3,4
134,Kio Stark: Why you should talk to strangers,Kio Stark,2618738,88,64,292,424,866,189,335,334,454,65,72,20,39,26,6
135,Jonathan Tepperman: The risky politics of progress,Jonathan Tepperman,942925,42,145,57,151,150,201,22,19,12,45,3,13,7,7,16
136,James Veitch: The agony of trying to unsubscribe,James Veitch,5711833,46,2210,369,75,566,67,218,56,14,82,79,57,7,5,12
137,Sal Khan: Let's teach for mastery -- not test scores,Sal Khan,2201195,145,1031,1442,143,425,391,196,740,16,87,99,14,34,40,2
138,Courtney E. Martin: The new American Dream,Courtney E. Martin,1404984,58,276,141,438,145,175,52,21,25,17,55,44,69,8,10
139,David Camarillo: Why helmets don't prevent concussions -- and what might,David Camarillo,1195181,46,24,244,238,20,353,122,23,99,247,72,18,54,72,29
140,Franz Freudenthal: A new way to heal hearts without surgery,Franz Freudenthal,1226441,26,166,142,208,235,160,43,3,4,52,14,28,1,2,3
141,Neha Narula: The future of money,Neha Narula,1799860,84,160,668,154,60,33,43,249,95,170,44,89,49,11,16
142,Julie Lythcott-Haims: How to raise successful kids -- without over-parenting,Julie Lythcott-Haims,2603203,203,619,923,2249,443,1000,619,483,127,19,18,50,78,23,16
143,Michael Shellenberger: How fear of nuclear power is hurting the environment,Michael Shellenberger,1185114,266,150,175,306,488,146,43,29,101,16,13,7,32,20,14
144,Michael Murphy: Architecture that's built to heal,Michael Murphy,1162011,60,392,714,86,100,256,133,173,5,135,5,1,3,18,6
145,Abigail Marsh: Why some people are more altruistic than others,Abigail Marsh,1690453,95,557,309,578,313,140,4,36,14,42,44,4,50,6,32
146,Eric Liu: There's no such thing as not voting,Eric Liu,793098,58,174,87,106,47,50,15,6,17,20,27,12,7,4,1
147,David Burkus: Why you should know how much your coworkers get paid,David Burkus,1713788,73,224,438,236,92,247,9,36,4,16,67,29,35,13,12
148,Nadia Lopez: Why open a school? To close a prison,Nadia Lopez,1029397,34,207,462,213,97,103,24,90,49,1,12,7,6,6,0
149,Sebastian Kraves: The era of personal DNA testing is here,Sebastian Kraves,1052018,10,41,170,117,7,70,111,28,9,31,15,9,26,2,3
150,Rebecca MacKinnon: We can fight terror without sacrificing our rights,Rebecca MacKinnon,1053126,35,177,97,33,117,110,4,17,7,24,15,9,5,7,5
151,J.D. Vance: America's forgotten working class,J.D. Vance,1077686,66,96,278,407,211,357,7,52,38,7,22,19,2,12,10
152,Camille A. Brown: A visual history of social dance in 25 moves,Camille A. Brown,778810,23,430,313,258,191,32,82,5,26,44,29,21,18,14,13
153,Oded Shoseyov: How we're harnessing nature's hidden superpowers,Oded Shoseyov,1211098,20,410,282,57,336,179,221,6,7,24,1,21,39,39,2
154,Sam Harris: Can we build AI without losing control over it?,Sam Harris,2592561,490,813,209,146,516,47,109,523,202,64,114,58,10,16,10
155,Helen Fisher: Technology hasn't changed love. Here's why,Helen Fisher,1593458,36,124,297,86,51,18,208,79,10,31,4,22,77,92,27
156,Ellen Jorgensen: What you need to know about CRISPR,Ellen Jorgensen,1400803,39,426,37,58,156,91,10,7,4,65,20,17,38,6,12
157,Sayu Bhojwani: Immigrant voices make democracy stronger,Sayu Bhojwani,783649,72,144,141,114,46,41,64,26,44,8,17,14,7,11,0
158,Adam de la Zerda: We can start winning the war against cancer,Adam de la Zerda,985203,56,251,73,110,17,111,24,33,5,35,24,4,7,4,0
159,Isaac Lidsky: What reality are you creating for yourself?,Isaac Lidsky,2561564,109,3442,606,674,217,718,853,10,34,1093,355,23,78,7,1
160,Rainn Wilson: Ideas worth dating,Rainn Wilson,792297,13,374,47,78,14,12,51,26,19,32,16,3,24,20,10
161,John McWhorter: 4 reasons to learn a new language,John McWhorter,2173228,83,369,24,38,514,583,138,377,255,46,65,148,11,18,35
162,Ione Wells: How we talk about sexual assault online,Ione Wells,1024139,29,168,356,100,289,7,95,12,38,31,2,16,1,7,1
163,Pico Iyer: The beauty of what we'll never know,Pico Iyer,1477238,32,182,652,281,53,418,95,30,112,59,18,27,13,6,11
164,Melissa Walker: Art can heal PTSD's invisible wounds,Melissa Walker,827933,25,152,60,174,2,1,112,184,46,24,43,6,1,5,7
165,Jim Hemerling: 5 ways to lead in an era of constant change,Jim Hemerling,1811178,24,104,667,144,231,18,312,5,15,62,14,50,51,24,12
166,Trevor Copp and Jeff Fox: Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,571009,86,296,130,229,57,117,13,23,26,62,12,60,5,35,14
167,Rachel Botsman: We've stopped trusting institutions and started trusting strangers,Rachel Botsman,1307557,39,92,339,167,221,182,31,39,29,24,9,10,18,8,1
168,Todd Coleman: A temporary tattoo that brings hospital care to the home,Todd Coleman,1134472,24,189,50,107,35,84,129,24,9,13,13,9,2,3,4
169,Zeynep Tufekci: Machine intelligence makes human morals more important,Zeynep Tufekci,1194781,84,24,7,29,396,173,239,49,96,43,157,51,49,6,30
170,Manwar Ali: Inside the mind of a former radical jihadist,Manwar Ali,1805897,45,269,140,139,431,254,35,9,21,22,78,21,11,5,9
171,Philippa Neave: The unexpected challenges of a country's first election,Philippa Neave,859817,38,152,59,32,25,7,27,5,11,6,11,5,10,10,31
172,Wanis Kabbaj: What a driverless world could look like,Wanis Kabbaj,2859109,93,447,364,444,271,124,60,108,61,72,11,35,42,18,2
173,Ian Bremmer: How the US should use its superpower status,Ian Bremmer,851675,49,106,60,67,47,55,142,12,34,41,13,24,10,17,6
174,Alyssa Monks: How loss helped one artist find beauty in imperfection,Alyssa Monks,1134525,31,535,295,454,43,117,33,23,19,8,9,37,4,22,5
175,Tasos Frantzolas: Everything you hear on film is a lie,Tasos Frantzolas,1236485,18,125,432,336,22,92,91,4,78,102,107,48,4,1,13
176,"Silk Road Ensemble + Rhiannon Giddens: ""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,820295,6,161,16,43,49,32,3,11,5,1,1,1,6,4,3
177,Kelli Jean Drinkwater: Enough with the fear of fat,Kelli Jean Drinkwater,1594248,326,1243,688,349,441,522,109,118,165,51,114,119,40,147,47
178,Christopher Soghoian: Your smartphone is a civil rights issue,Christopher Soghoian,1307805,146,355,605,123,186,72,35,36,83,46,40,68,77,25,24
179,Kandice Sumner: How America's public schools keep kids in poverty,Kandice Sumner,1181475,128,243,315,304,319,422,92,48,34,27,55,21,24,35,4
180,Mallory Soldner: Your company's data could help end world hunger,Mallory Soldner,951340,11,48,31,88,73,49,106,12,17,4,29,6,12,1,0
181,Tim Leberecht: 4 ways to build a human company in the age of machines,Tim Leberecht,1385538,23,71,238,7,369,87,133,17,61,9,148,77,5,17,18
182,"Amanda Palmer, Jherek Bischoff, Usman Riaz: ""Space Oddity""","Amanda Palmer, Jherek Bischoff, Usman Riaz",738590,8,206,53,52,9,17,2,20,12,10,19,13,9,6,3
183,Halla T?_masd?_ttir: It's time for women to run for office,Halla T?_masd?_ttir,877915,90,233,335,63,65,12,86,63,23,77,20,7,6,6,5
184,Suzanne Barakat: Islamophobia killed my brother. Let's end the hate,Suzanne Barakat,1177013,121,612,911,243,67,673,31,108,171,34,7,10,77,17,11
185,Jonathan Haidt: Can a divided America heal?,Jonathan Haidt,1515162,214,117,452,334,234,169,34,29,41,14,46,10,18,33,9
186,Fawn Qiu: Easy DIY projects for kid engineers,Fawn Qiu,1047389,18,255,292,351,70,173,116,22,42,30,47,6,4,6,0
187,"Hector Garcia: We train soldiers for war. Let's train them to come home, too",Hector Garcia,990521,58,96,192,224,82,61,19,22,21,68,8,8,6,5,1
188,Kimberl? Crenshaw: The urgency of intersectionality,Kimberl? Crenshaw,857330,106,21,71,48,51,121,159,144,95,4,28,17,8,16,4
189,Bettina Warburg: How the blockchain will radically transform the economy,Bettina Warburg,1985742,48,127,112,120,479,193,203,112,35,53,62,5,39,15,25
190,Steven Johnson: The playful wonderland behind great inventions,Steven Johnson,1122671,45,466,416,443,98,171,165,27,5,152,22,57,3,5,0
191,Victor Rios: Help for kids the education system ignores,Victor Rios,1158432,37,265,559,174,199,94,28,104,9,25,19,3,10,13,0
192,Roger Antonsen: Math is the hidden secret to understanding the world,Roger Antonsen,1910593,82,239,555,87,874,732,399,411,192,134,63,21,26,6,16
193,Sandi Toksvig: A political party for women's equality,Sandi Toksvig,799891,71,200,334,404,47,161,15,46,82,47,4,23,16,12,32
194,Juan Enriquez: What will humans look like in 100 years?,Juan Enriquez,2595890,93,251,209,389,696,135,225,542,84,67,10,17,15,24,37
195,Adam Galinsky: How to speak up for yourself,Adam Galinsky,3225186,69,1456,1668,565,150,790,338,56,165,34,78,175,50,60,22
196,Joe Lassiter: We need nuclear power to solve climate change,Joe Lassiter,1070583,291,152,231,48,87,11,44,19,33,15,12,18,12,10,14
197,"Alicia Garza, Patrisse Cullors and Opal Tometi: An interview with the founders of Black Lives Matter","Alicia Garza, Patrisse Cullors and Opal Tometi",782276,99,80,54,91,148,77,12,93,13,7,42,15,26,12,11
198,Danny Dorling: Maps that show us who we are (not just where we are),Danny Dorling,1384978,43,437,125,278,51,64,73,181,6,41,21,16,4,17,20
199,Ryan Gravel: How an old loop of railroads is changing the face of a city,Ryan Gravel,825412,13,151,14,76,28,38,6,39,8,29,26,19,9,8,2
